23:04:13: [INFO] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 51] Logger initialized
23:04:21: [INFO] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 93] Average velocity so far: (2.353, 0.000, 0.118) m/s
23:04:21: [INFO] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 154] CHANGING_YAW: 45.0
23:04:21: [INFO] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 93] Average velocity so far: (1.111, 0.000, 0.111) m/s
23:04:21: [INFO] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 154] CHANGING_YAW: 90.0
23:04:22: [INFO] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 93] Average velocity so far: (0.000, 0.000, 0.105) m/s
23:04:22: [INFO] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 154] CHANGING_YAW: 135.0
23:04:22: [INFO] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 93] Average velocity so far: (0.000, 1.000, 0.100) m/s
23:04:22: [INFO] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 154] CHANGING_YAW: -26.565051177077994
23:04:23: [INFO] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 93] Average velocity so far: (0.000, 1.905, 0.095) m/s
23:04:23: [INFO] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 154] CHANGING_YAW: -45.0
23:04:23: [INFO] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 93] Average velocity so far: (0.000, 2.727, 0.091) m/s
23:04:23: [INFO] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 154] CHANGING_YAW: -90.0
23:04:24: [INFO] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 93] Average velocity so far: (0.870, 2.609, 0.087) m/s
23:04:24: [INFO] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 154] CHANGING_YAW: -45.0
23:04:24: [INFO] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 93] Average velocity so far: (1.667, 2.500, 0.083) m/s
23:04:24: [INFO] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 154] CHANGING_YAW: -90.0
23:04:25: [INFO] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 93] Average velocity so far: (2.400, 2.400, 0.080) m/s
23:04:25: [INFO] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 154] CHANGING_YAW: -135.0
23:04:25: [INFO] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 93] Average velocity so far: (2.308, 1.538, 0.077) m/s
23:04:25: [INFO] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 154] CHANGING_YAW: -63.43494882292201
23:04:26: [INFO] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 93] Average velocity so far: (2.222, 0.741, 0.074) m/s
23:04:26: [INFO] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 154] CHANGING_YAW: -90.0
23:04:26: [INFO] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 93] Average velocity so far: (2.143, 0.000, 0.071) m/s
23:04:26: [INFO] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 154] CHANGING_YAW: -116.565051177078
23:04:27: [INFO] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 93] Average velocity so far: (1.379, 0.000, 0.069) m/s
23:04:27: [INFO] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 154] CHANGING_YAW: -45.0
23:04:27: [INFO] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 93] Average velocity so far: (0.667, 0.000, 0.067) m/s
23:04:27: [INFO] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 154] CHANGING_YAW: -63.43494882292201
23:04:28: [INFO] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 93] Average velocity so far: (0.000, 0.000, 0.065) m/s
23:04:28: [INFO] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 154] CHANGING_YAW: -90.0
